Entity_ID,EntitySize,NAICS_before,Industry_before,NAICS_after,Industry_After
1488753	63	332	"50 - 99 Fabricated Metal Product Manufacturing"	3327	"50 - 99 Machine Shops; Turned Product; and Screw"
1489548	63	54	"50 - 99 Professional, Scientific, and Technical Services"	541690	"50 - 99 Other Scientific and Technical Consulting Services"
1489555	102	4244	"100 - 499 Grocery and Related Product Merchant Wholesalers"	424480	"100 - 2499 Fresh Fruit and Vegetable Merchant Wholesalers"
1489845	62	61	"50 - 99 Educational Services"	611	"50 - 99 Educational Services"
1489848	531	522	"500 - 2499 Credit Intermediation and Related Activities"	522110	"500 - 2499 Commercial Banking"
1490033	298	4244	"100 - 499 Grocery and Related Product Merchant Wholesalers"	424480	"100 - 2499 Fresh Fruit and Vegetable Merchant Wholesalers"
1490143	496	321	"100 - 499 Wood Product Manufacturing"	32121	"100 - 2499 Veneer"
1490144	285	54	"100 - 499 Professional, Scientific, and Technical Services"	541330	"100 - 499 Engineering Services"
1490177	1357	621	"500 - 2499 Ambulatory Health Care Services"	621111	"500 - 2499 Offices of Physicians (except Mental Health Specialists)"
1490348	213	523	"100 - 499 Securities, Commodity Contracts, and Other Financial Investments and Related Activities"	523910	"100+ Miscellaneous Intermediation"
1490354	54	311	"50 - 99 Food Manufacturing"	311	"50 - 99 Food Manufacturing"
1491179	495	621	"100 - 499 Ambulatory Health Care Services"	621111	"100 - 499 Offices of Physicians (except Mental Health Specialists)"
1491180	50	621	"50 - 99 Ambulatory Health Care Services"	621210	"50 - 99 Offices of Dentists"
1491088	449	312	"100 - 499 Beverage and Tobacco Product Manufacturing"	3121	"100 - 499 Beverage Manufacturing"
1491361	77	54	"50 - 99 Professional, Scientific, and Technical Services"	54161	"50 - 99 Management Consulting Services"
1491478	648	485	"500 - 2499 Transit and Ground Passenger Transportation"	485999	"500+ All Other Transit and Ground Passenger Transportation"
1492196	2717	4244	"500+ Grocery and Related Product Merchant Wholesalers"	4244	"500+ Grocery and Related Product Merchant Wholesalers"
1492257	242	531	"100 - 499 Real Estate"	531210	"100 - 499 Offices of Real Estate Agents and Brokers"
1492402	1288	522	"500 - 2499 Credit Intermediation and Related Activities"	522130	"500+ Credit Unions"
1492748	73	111	"50 - 99 Crop Production"	111	"50 - 99 Crop Production"
1492956	227	332	"100 - 499 Fabricated Metal Product Manufacturing"	33281	"100 - 2499 Coating"
1492822	361	115	"100 - 499 Support Activities for Agriculture and Forestry"	11511	"100 - 2499 Support Activities for Crop Production"
1494129	485	115	"100 - 499 Support Activities for Agriculture and Forestry"	115	"100 - 499 Support Activities for Agriculture and Forestry"
1493927	96	54	"50 - 99 Professional, Scientific, and Technical Services"	541110	"50 - 99 Offices of Lawyers"
1494280	86	61	"50 - 99 Educational Services"	611110	"50 - 99 Elementary and Secondary Schools"
1494706	61	54	"50 - 99 Professional, Scientific, and Technical Services"	5411	"50 - 99 Legal Services"
1494606	889	334	"500 - 2499 Computer and Electronic Product Manufacturing"	334419	"500+ Other Electronic Component Manufacturing"
1495349	91	561	"50 - 99 Administrative and Support Services"	561	"50 - 99 Administrative and Support Services"
1495485	810	522	"500 - 2499 Credit Intermediation and Related Activities"	522110	"500 - 2499 Commercial Banking"
1495486	972	327	"500 - 2499 Nonmetallic Mineral Product Manufacturing"	32721	"100+ Glass and Glass Product Manufacturing"
1495870	831	321	"500+ Wood Product Manufacturing"	321999	"100 - 2499 All Other Miscellaneous Wood Product Manufacturing"
1495998	468	4237	"100 - 499 Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"	423710	"100+ Hardware Merchant Wholesalers"
1496219	1262	522	"500 - 2499 Credit Intermediation and Related Activities"	522130	"500+ Credit Unions"
1496432	439	423	"100 - 499 Merchant Wholesalers, Durable Goods"	423990	"100 - 499 Other Miscellaneous Durable Goods Merchant Wholesalers"
1496893	57	11	"50 - 99 Agriculture, Forestry, Fishing and Hunting"	11	"50 - 99 Agriculture"
1496921	313	332	"100 - 499 Fabricated Metal Product Manufacturing"	332216	"100 - 2499 Saw Blade and Handtool Manufacturing"
1497005	2869	55	"500+ Management of Companies and Enterprises"	551111	"500+ Offices of Bank Holding Companies"
1498249	133	54	"100 - 499 Professional, Scientific, and Technical Services"	541110	"100 - 499 Offices of Lawyers"
1498305	104	334	"100 - 499 Computer and Electronic Product Manufacturing"	3342	"100 - 2499 Communications Equipment Manufacturing"
1497844	345	237	"100 - 499 Heavy and Civil Engineering Construction"	237210	"100 - 2499 Land Subdivision"
1498615	59	621	"50 - 99 Ambulatory Health Care Services"	621399	"50 - 99 Offices of All Other Miscellaneous Health Practitioners"
1498895	110	54	"100 - 499 Professional, Scientific, and Technical Services"	541110	"100 - 499 Offices of Lawyers"
1499194	59	339	"50 - 99 Miscellaneous Manufacturing"	33911	"50 - 99 Medical Equipment and Supplies Manufacturing"
1499275	433	61	"100 - 499 Educational Services"	611310	"100 - 499 Colleges"
1499311	55	311	"50 - 99 Food Manufacturing"	311	"50 - 99 Food Manufacturing"
1499467	62	22	"50 - 99 Utilities"	221310	"50 - 99 Water Supply and Irrigation Systems"
1499794	336	236	"100 - 499 Construction of Buildings"	236115	"100 - 499 New Single-Family Housing Construction (except For-Sale Builders)"
1499932	1527	485	"500 - 2499 Transit and Ground Passenger Transportation"	48511	"500+ Urban Transit Systems"
1499974	57	531	"50 - 99 Real Estate"	531210	"50 - 99 Offices of Real Estate Agents and Brokers"
1501004	555	311	"500 - 2499 Food Manufacturing"	311	"500 - 2499 Food Manufacturing"
1501117	154	61	"100 - 499 Educational Services"	611110	"100 - 499 Elementary and Secondary Schools"
1502107	51	54	"50 - 99 Professional, Scientific, and Technical Services"	541330	"50 - 99 Engineering Services"
1502193	258	236	"100 - 499 Construction of Buildings"	236115	"100 - 499 New Single-Family Housing Construction (except For-Sale Builders)"
1502610	181	423	"100 - 499 Merchant Wholesalers, Durable Goods"	423990	"100 - 499 Other Miscellaneous Durable Goods Merchant Wholesalers"
1502703	505	485	"500 - 2499 Transit and Ground Passenger Transportation"	485210	"100 - 2499 Interurban and Rural Bus Transportation"
1503293	105	311	"100 - 499 Food Manufacturing"	311	"100 - 499 Food Manufacturing"
1503438	3159	54	"2500+ Professional, Scientific, and Technical Services"	541110	"2500+ Offices of Lawyers"
1503484	391	531	"100 - 499 Real Estate"	531210	"100 - 499 Offices of Real Estate Agents and Brokers"
1502216	241	524	"100 - 499 Insurance Carriers and Related Activities"	524210	"100 - 499 Insurance Agencies and Brokerages"
1503590	447	54	"100 - 499 Professional, Scientific, and Technical Services"	541618	"100+ Other Management Consulting Services"
1503764	63	531	"50 - 99 Real Estate"	531210	"50 - 99 Offices of Real Estate Agents and Brokers"
1504416	59	621	"50 - 99 Ambulatory Health Care Services"	621111	"50 - 99 Offices of Physicians (except Mental Health Specialists)"
1504678	96	339	"50 - 99 Miscellaneous Manufacturing"	339116	"50 - 99 Dental Laboratories"
1505429	1238	483	"100 - 2499 Water Transportation"	483	"100 - 2499 Water Transportation"
1506375	51	236	"50 - 99 Construction of Buildings"	236115	"50 - 99 New Single-Family Housing Construction (except For-Sale Builders)"
1506420	1343	238	"500 - 2499 Specialty Trade Contractors"	238290	"500+ Other Building Equipment Contractors"
1507269	590	54	"500 - 2499 Professional, Scientific, and Technical Services"	54161	"500+ Management Consulting Services"
1507283	861	522	"500 - 2499 Credit Intermediation and Related Activities"	522130	"500+ Credit Unions"
1507763	291	54	"100 - 499 Professional, Scientific, and Technical Services"	54171	"100 - 499 Research and Development in the Physical"
1507808	7257	525	"2500+ Funds, Trusts, and Other Financial Vehicles"	525920	"2500+ Trusts"
1508482	60	424	"50 - 99 Merchant Wholesalers, Nondurable Goods"	424910	"50 - 99 Farm Supplies Merchant Wholesalers"
1509563	1650	4244	"500+ Grocery and Related Product Merchant Wholesalers"	424420	"100 - 2499 Packaged Frozen Food Merchant Wholesalers"
1509886	80	54	"50 - 99 Professional, Scientific, and Technical Services"	5413	"50 - 99 Architectural"
1510092	64	236	"50 - 99 Construction of Buildings"	236115	"50 - 99 New Single-Family Housing Construction (except For-Sale Builders)"
1510209	341	522	"100 - 499 Credit Intermediation and Related Activities"	522130	"100 - 499 Credit Unions"
1511126	855	334	"500 - 2499 Computer and Electronic Product Manufacturing"	33441	"500 - 2499 Semiconductor and Other Electronic Component Manufacturing"
1511169	197	61	"100 - 499 Educational Services"	611310	"100 - 499 Colleges"
1512219	397	22	"100 - 499 Utilities"	221118	"100 - 2499 Other Electric Power Generation"
1512463	117	621	"100 - 499 Ambulatory Health Care Services"	621399	"100 - 499 Offices of All Other Miscellaneous Health Practitioners"
1512628	10775	531	"500+ Real Estate"	531210	"500+ Offices of Real Estate Agents and Brokers"
1513213	476	54	"100 - 499 Professional, Scientific, and Technical Services"	541618	"100+ Other Management Consulting Services"
1513375	229	54	"100 - 499 Professional, Scientific, and Technical Services"	5418	"100 - 499 Advertising"
1514462	71	54	"50 - 99 Professional, Scientific, and Technical Services"	541810	"50 - 99 Advertising Agencies"
1514707	67	54	"50 - 99 Professional, Scientific, and Technical Services"	541690	"50 - 99 Other Scientific and Technical Consulting Services"
1514765	294	61	"100 - 499 Educational Services"	611110	"100 - 499 Elementary and Secondary Schools"
1514000	50	54	"50 - 99 Professional, Scientific, and Technical Services"	541690	"50 - 99 Other Scientific and Technical Consulting Services"
1515837	72	311	"50 - 99 Food Manufacturing"	311	"50 - 99 Food Manufacturing"
